KeySize,Format,File,Encryption_Time,Decryption_Time
3072,DER,Plain_128.txt,1.107,6.515
3072,DER,Plain_128.txt,0.375,6.111
3072,DER,Plain_128.txt,0.382,5.676
3072,DER,Plain_128.txt,0.338,5.719
3072,DER,Plain_128.txt,0.415,5.911
3072,DER,Plain_128.txt,0.343,5.858
3072,DER,Plain_128.txt,0.341,5.962
3072,DER,Plain_128.txt,0.348,5.937
3072,DER,Plain_128.txt,0.328,5.743
3072,DER,Plain_128.txt,0.356,6.047
3072,DER,Plain_128.txt,0.381,5.835
3072,DER,Plain_128.txt,0.33,6.215
3072,DER,Plain_128.txt,0.349,5.965
3072,DER,Plain_128.txt,0.355,5.978
3072,DER,Plain_128.txt,0.349,5.956
3072,DER,Plain_128.txt,0.335,5.822
3072,DER,Plain_128.txt,0.33,5.743
3072,DER,Plain_128.txt,0.314,5.947
3072,DER,Plain_128.txt,0.31,5.683
3072,DER,Plain_128.txt,0.35,5.787
3072,DER,Plain_128.txt,0.409,5.73
3072,DER,Plain_128.txt,0.418,5.735
3072,DER,Plain_128.txt,0.371,5.688
3072,DER,Plain_128.txt,0.354,5.727
3072,DER,Plain_128.txt,0.371,5.681
3072,DER,Plain_128.txt,0.343,5.756
3072,DER,Plain_128.txt,0.363,5.815
3072,DER,Plain_128.txt,0.341,6.181
3072,DER,Plain_128.txt,0.359,5.95
3072,DER,Plain_128.txt,0.332,5.923
3072,DER,Plain_128.txt,0.349,6.002
3072,DER,Plain_128.txt,0.346,5.933
3072,DER,Plain_128.txt,0.355,6.015
3072,DER,Plain_128.txt,0.35,6.026
3072,DER,Plain_128.txt,0.341,6.035
3072,DER,Plain_128.txt,0.371,5.924
3072,DER,Plain_128.txt,0.417,5.669
3072,DER,Plain_128.txt,0.351,5.757
3072,DER,Plain_128.txt,0.614,5.742
3072,DER,Plain_128.txt,0.345,5.748
3072,DER,Plain_128.txt,0.351,6.219
3072,DER,Plain_128.txt,0.386,6.241
3072,DER,Plain_128.txt,0.349,5.941
3072,DER,Plain_128.txt,0.331,5.992
3072,DER,Plain_128.txt,0.319,6.032
3072,DER,Plain_128.txt,0.327,5.875
3072,DER,Plain_128.txt,0.33,6.029
3072,DER,Plain_128.txt,0.318,5.845
3072,DER,Plain_128.txt,0.335,5.851
3072,DER,Plain_128.txt,0.388,5.805
3072,DER,Plain_128.txt,0.383,5.803
3072,DER,Plain_128.txt,0.343,5.871
3072,DER,Plain_128.txt,0.352,5.974
3072,DER,Plain_128.txt,0.361,6.374
3072,DER,Plain_128.txt,0.342,6.01
3072,DER,Plain_128.txt,0.343,5.922
3072,DER,Plain_128.txt,0.354,5.926
3072,DER,Plain_128.txt,0.347,5.833
3072,DER,Plain_128.txt,0.328,5.948
3072,DER,Plain_128.txt,0.323,5.868
3072,DER,Plain_128.txt,0.403,5.741
3072,DER,Plain_128.txt,0.384,5.745
3072,DER,Plain_128.txt,0.408,5.92
3072,DER,Plain_128.txt,0.349,6.018
3072,DER,Plain_128.txt,0.355,5.735
3072,DER,Plain_128.txt,0.385,5.765
3072,DER,Plain_128.txt,0.354,5.899
3072,DER,Plain_128.txt,0.346,5.961
3072,DER,Plain_128.txt,1.126,5.966
3072,DER,Plain_128.txt,0.344,5.807
3072,DER,Plain_128.txt,0.338,5.794
3072,DER,Plain_128.txt,0.338,5.856
3072,DER,Plain_128.txt,0.357,5.791
3072,DER,Plain_128.txt,0.384,5.721
3072,DER,Plain_128.txt,0.389,5.688
3072,DER,Plain_128.txt,0.366,5.732
3072,DER,Plain_128.txt,0.381,5.831
3072,DER,Plain_128.txt,0.382,5.787
3072,DER,Plain_128.txt,0.344,5.741
3072,DER,Plain_128.txt,0.333,5.755
3072,DER,Plain_128.txt,0.328,5.882
3072,DER,Plain_128.txt,0.32,5.768
3072,DER,Plain_128.txt,0.32,6.331
3072,DER,Plain_128.txt,0.366,6.101
3072,DER,Plain_128.txt,0.349,5.777
3072,DER,Plain_128.txt,0.329,5.726
3072,DER,Plain_128.txt,0.319,5.706
3072,DER,Plain_128.txt,0.315,5.99
3072,DER,Plain_128.txt,0.323,8.208
3072,DER,Plain_128.txt,0.33,5.832
3072,DER,Plain_128.txt,0.355,5.897
3072,DER,Plain_128.txt,0.334,5.772
3072,DER,Plain_128.txt,0.377,5.668
3072,DER,Plain_128.txt,0.342,5.726
3072,DER,Plain_128.txt,0.372,5.768
3072,DER,Plain_128.txt,0.356,5.747
3072,DER,Plain_128.txt,0.33,5.665
3072,DER,Plain_128.txt,0.341,5.717
3072,DER,Plain_128.txt,0.372,5.812
3072,DER,Plain_128.txt,0.396,5.793
3072,DER,Plain_128.txt,0.337,6.157
3072,DER,Plain_128.txt,0.328,5.797
3072,DER,Plain_128.txt,0.31,5.751
3072,DER,Plain_128.txt,0.327,5.847
3072,DER,Plain_128.txt,0.326,5.803
3072,DER,Plain_128.txt,0.324,5.862
3072,DER,Plain_128.txt,0.34,6.023
3072,DER,Plain_128.txt,0.324,5.916
3072,DER,Plain_128.txt,0.322,5.858
3072,DER,Plain_128.txt,0.335,5.869
3072,DER,Plain_128.txt,0.339,5.819
3072,DER,Plain_128.txt,0.326,5.871
3072,DER,Plain_128.txt,0.333,5.899
3072,DER,Plain_128.txt,0.347,5.767
3072,DER,Plain_128.txt,0.341,5.712
3072,DER,Plain_128.txt,0.35,5.771
3072,DER,Plain_128.txt,0.329,5.81
3072,DER,Plain_128.txt,0.309,5.831
3072,DER,Plain_128.txt,0.349,5.788
3072,DER,Plain_128.txt,0.32,5.792
3072,DER,Plain_128.txt,0.332,5.801
3072,DER,Plain_128.txt,0.324,5.77
3072,DER,Plain_128.txt,0.341,5.797
