KeySize,File,Encryption_Time,Decryption_Time
128,1KB.txt,4.031,2.132
128,1KB.txt,1.82,2.268
128,1KB.txt,1.825,4.77
128,1KB.txt,2.152,3.31
128,1KB.txt,2.627,2.548
128,1KB.txt,2.863,3.034
128,1KB.txt,4.428,6.367
128,1KB.txt,14.607,5.479
128,1KB.txt,6.313,7.636
128,1KB.txt,2.902,3.377
128,1KB.txt,3.819,3.351
128,1KB.txt,5.158,6.692
128,1KB.txt,2.989,2.575
128,1KB.txt,2.717,3.037
128,1KB.txt,3.003,3.211
128,1KB.txt,3.512,2.444
128,1KB.txt,3.134,3.424
128,1KB.txt,2.754,2.709
128,1KB.txt,2.611,2.547
128,1KB.txt,2.452,2.252
128,1KB.txt,2.549,2.263
128,1KB.txt,1.551,2.297
128,1KB.txt,2.983,3.276
128,1KB.txt,2.508,1.475
128,1KB.txt,2.44,4.257
128,1KB.txt,2.698,2.93
128,1KB.txt,2.808,9.92
128,1KB.txt,6.643,1.896
128,1KB.txt,1.774,2.439
128,1KB.txt,2.369,2.91
128,1KB.txt,3.925,3.335
128,1KB.txt,3.94,2.144
128,1KB.txt,3.486,2.92
128,1KB.txt,3.046,1.558
128,1KB.txt,1.635,2.477
128,1KB.txt,3.825,2.462
128,1KB.txt,2.891,2.482
128,1KB.txt,2.407,2.477
128,1KB.txt,2.564,2.457
128,1KB.txt,2.686,2.668
128,1KB.txt,2.671,2.58
128,1KB.txt,3.059,2.326
128,1KB.txt,2.535,2.468
128,1KB.txt,2.779,2.246
128,1KB.txt,2.705,2.529
128,1KB.txt,2.652,3.064
128,1KB.txt,3.205,3.42
128,1KB.txt,4.506,2.296
128,1KB.txt,2.286,2.561
128,1KB.txt,2.678,2.45
128,1KB.txt,1.572,1.403
128,1KB.txt,2.06,2.353
128,1KB.txt,1.7,1.944
128,1KB.txt,4.853,2.507
128,1KB.txt,2.749,2.463
128,1KB.txt,7.85,2.878
128,1KB.txt,5.2,2.883
128,1KB.txt,2.71,3.854
128,1KB.txt,4.047,2.382
128,1KB.txt,2.673,3.389
128,1KB.txt,2.985,2.992
128,1KB.txt,2.832,2.997
128,1KB.txt,3.104,2.619
128,1KB.txt,2.533,2.615
128,1KB.txt,2.896,2.381
128,1KB.txt,2.968,6.728
128,1KB.txt,2.746,2.428
128,1KB.txt,2.672,2.246
128,1KB.txt,2.543,2.221
128,1KB.txt,2.587,2.366
128,1KB.txt,2.55,2.303
128,1KB.txt,2.554,2.191
128,1KB.txt,2.279,2.324
128,1KB.txt,2.648,1.416
128,1KB.txt,1.477,2.858
128,1KB.txt,3.211,2.526
128,1KB.txt,2.507,2.283
128,1KB.txt,2.357,3.162
128,1KB.txt,2.502,2.398
128,1KB.txt,1.454,1.468
128,1KB.txt,1.487,1.37
128,1KB.txt,2.279,2.441
128,1KB.txt,3.15,2.34
128,1KB.txt,2.931,3.117
128,1KB.txt,2.63,2.707
128,1KB.txt,2.456,1.66
128,1KB.txt,2.752,2.585
128,1KB.txt,2.797,2.803
128,1KB.txt,3.535,2.311
128,1KB.txt,3.201,2.319
128,1KB.txt,2.555,4.171
128,1KB.txt,2.578,2.448
128,1KB.txt,4.066,2.684
128,1KB.txt,2.559,2.291
128,1KB.txt,3.08,2.843
128,1KB.txt,2.707,2.71
128,1KB.txt,2.592,2.731
128,1KB.txt,2.851,3.23
128,1KB.txt,2.447,2.354
128,1KB.txt,2.834,2.308
128,1KB.txt,4.312,5.587
128,1KB.txt,2.776,2.613
128,1KB.txt,3.454,2.427
128,1KB.txt,2.516,2.185
128,1KB.txt,2.703,2.398
128,1KB.txt,2.74,2.731
128,1KB.txt,2.676,1.675
128,1KB.txt,2.533,2.489
128,1KB.txt,2.693,2.938
128,1KB.txt,2.717,1.586
128,1KB.txt,3.265,1.878
128,1KB.txt,2.811,2.265
128,1KB.txt,2.779,2.299
128,1KB.txt,2.601,2.215
128,1KB.txt,2.452,2.299
128,1KB.txt,4.534,2.349
128,1KB.txt,2.833,2.429
128,1KB.txt,2.382,2.507
128,1KB.txt,2.514,2.516
128,1KB.txt,2.587,2.501
128,1KB.txt,3.637,2.619
128,1KB.txt,2.449,2.604
128,1KB.txt,2.792,2.195
128,1KB.txt,2.576,2.395
128,1KB.txt,2.396,2.342
128,1KB.txt,3.452,2.696
128,1KB.txt,2.581,2.91
128,1KB.txt,2.442,2.407
128,1KB.txt,2.4,2.606
128,1KB.txt,2.469,2.78
128,1KB.txt,4.464,8.207
128,1KB.txt,1.786,2.237
128,1KB.txt,1.542,3.363
128,1KB.txt,2.465,2.459
128,1KB.txt,8.455,3.15
128,1KB.txt,2.117,1.478
128,1KB.txt,3.151,1.626
128,1KB.txt,1.772,1.466
128,1KB.txt,1.722,2.44
128,1KB.txt,2.383,1.562
128,1KB.txt,2.515,2.367
128,1KB.txt,2.517,2.326
128,1KB.txt,3.499,2.998
128,1KB.txt,2.59,2.681
128,1KB.txt,2.643,2.585
128,1KB.txt,2.69,2.384
128,1KB.txt,2.677,2.37
128,1KB.txt,2.491,2.369
128,1KB.txt,2.62,2.292
128,1KB.txt,2.86,2.39
128,1KB.txt,2.507,2.253
128,1KB.txt,2.542,2.755
128,1KB.txt,2.449,2.282
128,1KB.txt,2.377,2.338
128,1KB.txt,2.657,2.386
128,1KB.txt,2.569,2.489
128,1KB.txt,2.94,2.707
128,1KB.txt,2.702,2.621
128,1KB.txt,3.186,2.457
128,1KB.txt,2.495,2.4
